artist	artist_id	name	album	release_year	header	lyrics
Scarface	11	The White Sheet	The Diary	1994	[Chorus]	"Rat tat tat tat 'til your ass hit the muthafuckin' floor
(Here comes the White Sheet)
Rat tat tat tat 'til your ass hit the muthafuckin' floor
(Here comes the White Sheet)
Rat tat tat tat 'til your ass hit the muthafuckin' floor
(Here comes the White Sheet)
Rat tat tat tat 'til your ass hit the muthafuckin' floor
(Here comes the White Sheet)"
Travis Scott	33	SKELETONS	ASTROWORLD	2018	[Verse]	"We just rocked Coachella, I gave her half of the check
It was good sex, honorable mention to the neck
()
Didn't pass the loud, that was out of respect
Afterwards, pass the towel, I was out of Kleenex
If you take a girl out, do you expect sex?
If she take her titties out, do you expect checks?
First visit, I gave her a pearl necklace
Next visit, I'ma need your girl naked
Took a church visit, you know, 'cause the world hectic"
Kendrick Lamar	16	For Sale? (Interlude)	To Pimp a Butterfly	2015	[Chorus]	"Get you, get you, get you, get you
I'ma go hit the throttle with you
Smoking, lokin', poking that doja 'til I'm idle with you
'Cause I (Want you)
Now, baby, when I'm riding here, I'm riding dirty
Registration is out of service
Smoking, lokin', drinking that potion, you can see me swerving
'Cause I (Want you)"
Snoop Dogg	0	Bitch Niggaz	2001	1999	[Interlude]	"Bitch niggas (Bitch niggas)
Bitch niggas (Bitch niggas)
Bitch-ass niggas (Beotch)
 (Bitch niggas)
Yeah, I'm talkin' about you (Beotch)
And you too (Biatch)
Hmm, Dogg"
Eric B. & Rakim	14	What’s On Your Mind	Don’t Sweat the Technique	1992	[Verse 1]	"I seen her in the subway, on my way to Brooklyn
""Hello, good lookin', is this seat tooken?""
On the A-train, pickin' at her brain
I couldn't get her number, I couldn't get her name (I'm curious!)
I said I still like your style of fashion
But I hate your high saddity attitude with a passion
Is it because brothers like to hawk a lot?
Is it because you're shy and don't talk a lot?
She turned away, no play, I said okay
You don't really look good, I hope you have a bad day
Sat back, relaxed though the ride was tight
I was thinkin' of the rhymes I wrote last night
Next stop was mine, a familiar scene
I was meetin' my friend Killer Ben in Fort Greene
Where the girls are real, and tell ya how they feel
If you're soft, you're soft, or if you're hard like steel
See, I don't bend, and I won't rust
And I don't break, and I won't bust
Stomped up the street, and did I hear a treat?
Hard high heels tappin' on the concrete
I took a peek, it was the girl from the train behind me
Did she live in the area? Was she tryin' to find me?
Hmm.. I didn't wanna play myself out
I played it off, stopped and I bought a Guinness Stout
Now, was she shy? She didn't walk by
She came in the store, and she even said ""Hi""
Curiosity, at a high velocity
Maybe possibly, she had the hots for me
I said if we're playin' games, then we're gonna play mine
I'mma lay the rules 'cause it ain't much time
If you hide your feelings, and they hard to find
I wanna know what's on your mind"
Kanye West	5	POWER	My Beautiful Dark Twisted Fantasy	2010	[Chorus]	"No one man should have all that power
The clock's ticking, I just count the hours
Stop tripping, I'm tripping off the power
'Til then, fuck that, the world's ours
And they say, and they say
And they say, and they say
And they say, and they say
(21st-century schizoid man)"
Prodigy	8	Animal Instinct	Hell On Earth	1996	[Verse 2]	"To all my Mobb crimey, money-hungry and grimy
Mobb sheisty, Godfather III, and Gotti
Rapper Noyd, Ty Maxx, and Ty Nitty
Scarface and Gambino, New York City
It's P live and direct, stab the neck
Icepick bloodied up your whole entire shit
Live shit, one-nine-nine-six, ask your bitch
My crew run wild, snatch chains and bracelets
Your time's wasted for figuring P
There's two sides of me
Snake niggas obviously
You get lumped somethin' horribly and then we calmly
Guzzle Spumantely and Dom Pérignonly
Move through crowds, overproof the fuck out
After God drinks, had to shoot our fuckin' way out
Sparks flyin', niggas dyin', bitches cryin' and shout
Mobb niggas to the exit, we out"
Gang Starr	21	Aiiight Chill...	Hard to Earn	1994	[Interlude]	"Ayo, Premo, what's up, yo?
Yo, I'm up in the BX, yo
See you ain't in, yo, probably in the studio making some phat beats
So I'll catch you on a later note
Aight? Chill"
Snoop Dogg	0	Betta Days	No Limit Top Dogg	1999	[Chorus]	"Be smart, fresh start is all you need
First things first cuz, stop smokin cess weed
You are what you smoke, my nigga stop hating
That's why you broke and that's why we celebrating
""But life's so hard on a G"", that's what they all say
But somehow someway, you got to make a better way
(Somehow someway)
You got to make a better way
(You got to make a better way)
You got to make a better way
(You got to make a better way)
You got to make a better way
(You got to make a better way)
You got to make a better way
(Yeah, better days ahead)
Better days ahead
(Better days ahead)
Better days ahead"
Future	30	Rockstar Chainz	Pluto x Baby Pluto	2020	[Verse 1]	"I'ma get me a B up out it, started with a milli'
Made it out the trenches, I can't ever plead guilty
Crushed her heart when she found out I crushed her friend
Played it smart 'cause either way, I gotta win
I wear my heart on my sleeve, they ain't real as me
We could've kept it way more cordial, but it's chemistry
You kept me over through the night and boost my energy
I'm thankin' you, I'm thankin' me for curiosity
Coolest thing to do is to be cool with a nigga and fuckin' on his bitch
I know niggas'd do it to me so I'm always gon' send that hit
She said she true and she said she loyal, that's how they come to me
I know what really turn you on and I'ma keep our secret"
